crypto,CoinName,Algorithm,IsTrading1,ProofType,TotalCoinsMined,TotalCoinSupply
CMPCO,CampusCoin,Scrypt,1.0,PoW,0.0,1010000000.0
DFT,Draftcoin,Scrypt,1.0,PoS,18663297.3,17405891.2
VET,Vechain,VeChainThor Authority,1.0,Proof of Authority,55454734800.0,86712634466.0
SOJ,Sojourn Coin,Scrypt,1.0,PoW,485214.0,10500000000.0
STCN,Stakecoin,PoS,1.0,PoS,4000000.0,61599965.0
NYC,NewYorkCoin,Scrypt,1.0,PoW,143006669741.7,0.0
LBTC,LiteBitcoin,Scrypt,1.0,PoW,0.0,1000000000.0
FRAZ,FrazCoin,Scrypt,1.0,PoW,9704042.0,20000000.0
KRONE,Kronecoin,Scrypt,1.0,PoW,17453749.4,84000000.0
ACC,AdCoin,Scrypt,1.0,PoW,32646731.1,100000000.0
LINX,Linx,Scrypt,1.0,PoW,33716526.0,100000000.0
XCXT,CoinonatX,Scrypt,1.0,PoW/PoS,19539588.0,48252000.0
ETHD,Ethereum Dark,Scrypt,1.0,PoW/PoS,4200000.0,4200000.0
SUMO,Sumokoin,CryptoNight,1.0,PoW,8946653.0,88888888.0
ODN,Obsidian,SHA-512,1.0,PoS,25000000.0,91388946.0
ADA,Cardano,Ouroboros,1.0,PoS,25927070538.0,45000000000.0
REC,Regalcoin,X11,1.0,PoW/PoS,7262402.0,27000000.0
BTCZ,BitcoinZ,Equihash,1.0,PoW,5211553258.0,21000000000.0
TZC,TrezarCoin,NeoScrypt,1.0,PoW/PoS,182638400.0,400000000.0
ELM,Elements,X11,1.0,PoW,2702855668.9,1800000000.0
TER,TerraNovaCoin,Scrypt,1.0,PoW/PoS,1140734.9,15733333.0
VIVO,VIVO Coin,NeoScrypt,1.0,PoW,4165967.6,27000000.0
RUP,Rupee,Lyra2REv2,1.0,PoS,24000000.0,24000000.0
BTG,Bitcoin Gold,Equihash,1.0,PoW,17202361.1,21000000.0
WOMEN,WomenCoin,Scrypt,1.0,PoW/PoS,48459472454.0,25000000000.0
MAY,Theresa May Coin,SHA-256,1.0,PoW/PoS,92050800.0,100000000.0
NAMO,NamoCoin,NIST5,1.0,PoW/PoS,560563220.0,1200000000.0
LUX,LUXCoin,PHI1612,1.0,PoW/PoS,8305775.3,60000000.0
PIRL,Pirl,Dagger,1.0,PoW,33986980.0,156306732.7
XIOS,Xios,Scrypt,1.0,PoW/PoS,2149688.0,21000000.0
BTDX,Bitcloud 2.0,Quark,1.0,PoW/PoS,30711550.5,200000000.0
EBST,eBoost,Scrypt,1.0,PoW,99990001.5,100000000.0
KEK,KekCoin,POS 2.0,1.0,PoS,12330806.3,21000000.0
BLHC,BlackholeCoin,Scrypt,1.0,PoW/PoS,16362545.0,14788276.0
ALTCOM,AltCommunity Coin,SkunkHash,1.0,PoW/PoS,0.0,5000000.0
PURE,Pure,X11,1.0,PoW/PoS,0.0,3686860.0
RUPX,Rupaya,Quark,1.0,PoS,0.0,75000000.0
XIN,Infinity Economics,SHA-256,1.0,PoS,8999999990.0,9000000000.0
PURA,Pura,X11,1.0,PoW,175215859.0,350000000.0
INN,Innova,NeoScrypt,1.0,PoW,6375259.0,45000000.0
BDL,Bitdeal,Scrypt,1.0,PoW,0.0,300000000.0
ELLA,Ellaism,Ethash,1.0,PoW,12756367.0,280000000.0
SKR,Sakuracoin,Scrypt,1.0,PoW,0.0,105100000.0
ISH,Interstellar Holdings,Scrypt,0.0,PoS,0.0,1970000000.0
GBX,GoByte,NeoScrypt,1.0,PoW,5832306.9,31800000.0
CSTL,Castle,Quark,1.0,DPoS,0.0,50000000.0
ICC,Insta Cash Coin,SHA-256,0.0,PoW,0.0,300000000.0
ALQO,Alqo,Quark,0.0,PoW/PoS,65269530.1,57879300.0
MAG,Magnet,X11,1.0,PoW/PoS,38198594.8,144000000.0
TAU,Lamden Tau,DPoS,1.0,DPoS,288090567.5,500000000.0
ECA,Electra,NIST5,1.0,PoW/PoS,28399150208.0,30000000000.0
BCD,Bitcoin Diamond,X13,1.0,PoW/PoS,183534024.9,210000000.0
XSH,SHIELD,Multiple,1.0,PoW,481730566.6,660000000.0
BCO*,BridgeCoin,Scrypt,0.0,PoW,0.0,27000000.0
MUT,Mutual Coin,Scrypt,0.0,PoW/PoS,0.0,1000000000.0
CNBC,Cash & Back Coin,Scrypt,1.0,PoW/PoS,110976977.3,210000000.0
XUN,UltraNote,CryptoNight,1.0,PoW,19281821413.5,85000000000.0
COAL,BitCoal,CryptoNight,1.0,PoW,4500000.0,12500000.0
DAXX,DaxxCoin,Ethash,1.0,PoW,520891780.0,10000000000.0
BWK,Bulwark,NIST5,1.0,PoS,13247178.9,27716121.0
BOXY,BoxyCoin,Scrypt,0.0,PoW,5761512.8,100000000.0
KLKS,Kalkulus,Quark,1.0,PoS,16955764.9,20000000.0
AC3,AC3,X11,1.0,PoW,80316207.0,550000000.0
CHIPS,CHIPS,SHA-256,1.0,PoW,0.0,21000000.0
LTHN,Lethean,CryptoNight-V7,1.0,PoW,441250233.4,999481516.0
GER,GermanCoin,Scrypt,1.0,PoW/PoS,4911500269.4,50000000000.0
LTCU,LiteCoin Ultra,Scrypt,1.0,PoW/PoS,8419402.3,150000000.0
POP,PopularCoin,Scrypt,1.0,PoW,3964201248.9,4999999999.0
PNX,PhantomX,X11,1.0,PoW/PoS,45174214.1,50000000.0
HBC,HomeBlockCoin,X11,0.0,PoW/PoS,0.0,28000000.0
HTML,HTML Coin,SHA-256,1.0,PoW/PoS,0.0,90000000000.0
PHO,Photon,BLAKE256,1.0,PoW,30089671530.5,90000000000.0
SUCR,Sucre,X11,1.0,PoW,4229040.5,19800000.0
ACCO,Accolade,Scrypt,0.0,PoW/PoS,5573908.0,50000000.0
XFT,Fantasy Cash,Scrypt,1.0,PoW/PoS,0.0,4600000.0
OMGC,OmiseGO Classic,Scrypt,0.0,PoW/PoS,49933217.8,70000000.0
SPK,SparksPay,NeoScrypt,1.0,PoW,7847417.3,21000000.0
GOA,GoaCoin,NeoScrypt,0.0,PoW,3982139.2,32000000.0
WAGE,Digiwage,Quark,1.0,PoS,27299680.0,120000000.0
GUN,GunCoin,NeoScrypt,1.0,PoW,299797953.0,500000000.0
IRL,IrishCoin,Scrypt,1.0,PoW,45483049.3,64000000.0
TROLL,Trollcoin,Scrypt,1.0,PoW/PoS,591022748.0,900000000.0
LCP,Litecoin Plus,Scrypt,1.0,PoW/PoS,2504486.2,4000000.0
MONK,Monkey Project,X11,1.0,PoS,4407252.0,21000000.0
ECC,ECC,Scrypt,0.0,PoS,25000000000.0,25000000000.0
PCOIN,Pioneer Coin,X11,1.0,PoW,8478104.3,23000000.0
UBTC,UnitedBitcoin,SHA-256,1.0,PoW,20166000.0,20166000.0
ITZ,Interzone,C11,1.0,PoW,11916588.1,23000000.0
SGL,Sigil,NeoScrypt,0.0,PoW,0.0,50000000.0
OPC,OP Coin,Scrypt,1.0,PoW/PoS,0.0,2000000000.0
VAL,Valorbit,Scrypt,1.0,PoW/PoS,0.0,9.223372e+16
TPAY,TokenPay,POS 3.0,1.0,PoS,20445861.5,25000000.0
MCT,1717 Masonic Commemorative Token,Ethash,1.0,PoS,1618033.0,1618033.0
CWIS,Crypto Wisdom Coin,Scrypt,0.0,PoW,17630550.2,24000000.0
MBC,My Big Coin,Scrypt,1.0,PoW and PoS,9399342.5,30000000.0
TRTL,TurtleCoin,CryptoNight,1.0,PoW,53139835213.8,1000000000000.0
MUN,MUNcoin,SkunkHash,1.0,PoW,4818339.0,16600000.0
USX,Unified Society USDEX,Scrypt,1.0,PoW/PoS,234846265.8,232000000.0
NBR,Niobio Cash,CryptoNight,1.0,PoW,133932467.8,336000000.0
BSR,BitSoar Coin,X11,0.0,PoS,3680297312.3,3980000000.0
BTCP,Bitcoin Private,Equihash,1.0,PoW,0.0,21000000.0
SKC,Skeincoin,Skein,1.0,PoW,0.0,17000000.0
SSS,ShareChain,Scrypt,1.0,PoW,10000000000.0,10000000000.0
CRDNC,Credence Coin,SHA-256,0.0,PoW/PoS,3427006.0,25000000.0
TRF,Travelflex,Dagger,1.0,PoW,107325266.0,100000000.0
KREDS,KREDS,Lyra2REv2,1.0,PoW,643795911.5,1100000000.0
TOKC,Tokyo Coin,X13,1.0,PoS,230298925.0,800000000.0
BBP,BiblePay,Proof-of-BibleHash,1.0,POBh,1772091549.9,5200000000.0
LCC,LitecoinCash,SHA-256 + Hive,1.0,PoW + Hive,638382332.2,840000000.0
FLIP,BitFlip,Scrypt,1.0,PoW,12446100.0,40000000.0
LOT,LottoCoin,Scrypt,1.0,PoW,14491014421.0,18406979840.0
LEAF,LeafCoin,Scrypt,1.0,PoW,0.0,21000000000.0
BASHC,BashCoin,Skein,0.0,PoW/PoS,11661844.5,72000000.0
DGM,DigiMoney,X11,0.0,PoW/PoS,3521630.0,25000000.0
CBS,Cerberus,NeoScrypt,1.0,PoW,0.0,31500000.0
BTCH,Bitcoin Hush,Equihash,1.0,PoW,0.0,21000000.0
LIZ,Lizus Payment,Skein,0.0,PoW/PoS,2985971.0,69000000.0
CIF,Crypto Improvement Fund,X11,1.0,PoW,211297638.5,500000000.0
SPD,Stipend,C11,1.0,PoW/PoS,11251342.2,19340594.0
POA,Poa Network,Proof-of-Authority,1.0,PoA,204479039.0,252460800.0
PUSHI,Pushi,X11,1.0,PoW/PoS,2167827.1,25000000.0
POKER,PokerCoin,Scrypt,0.0,PoS/PoW,0.0,466666667.0
ELP,Ellerium,XEVAN,1.0,PoW/PoS,419275.4,60000000.0
VLX,Velox,Scrypt,1.0,PoS,25570013.1,124000000.0
ONT,Ontology,VBFT,1.0,PoS,650848625.0,1000000000.0
CLO,Callisto Network,Ethash,1.0,PoW,247612453.0,6500000000.0
CRU,Curium,X11,1.0,PoW,0.0,22000000.0
TUBE,BitTube,CryptoNight,1.0,PoW,80049082.9,1000000000.0
DIN,Dinero,NeoScrypt,1.0,PoW,0.0,100000000.0
PSD,Poseidon,Scrypt,1.0,PoW,4070212.1,21000000.0
MANNA,Manna,SHA-256,0.0,PoW,2360478328.7,10044655075.6
ADK,Aidos Kuneen,IMesh,1.0,PoW,25000000.0,25000000.0
SERA,Seraph,PHI1612,0.0,PoW/PoS,1360250.0,32000000.0
CMOS,Cosmo,Quark,0.0,PoW,8928876.7,11892000.0
REDN,Reden,X16S,0.0,PoW,0.0,14000000.0
BSX,Bitspace,NIST5,1.0,PoW/PoS,13787854.6,50000000.0
XSG,Snowgem,Equihash,1.0,PoW,0.0,84096000.0
BRIA,Briacoin,Scrypt,1.0,PoW/PoS,845637.8,3000000.0
IC,Ignition,Scrypt,1.0,PoW/PoS,1182153.5,5000000.0
BTL,Bitrolium,Equihash,1.0,PoW,71355477.0,70000000.0
BCI,Bitcoin Interest,Equihash,1.0,PoW,0.0,22300000.0
MEDIC,MedicCoin,Scrypt,1.0,PoS,267297676.3,500000000.0
FLM,FOLM coin,PHI1612,0.0,PoW,0.0,23001916.0
ALPS,Alpenschillling,Lyra2Z,1.0,PoW,27340501.7,300000000.0
ZEL,Zelcash,Equihash,1.0,PoW/PoS,0.0,210000000.0
BITG,Bitcoin Green,Green Protocol,1.0,PoS,9803691.4,21000000.0
DEV,Deviant Coin,PoS,1.0,PoS,21876586.9,88000000.0
ABJ,Abjcoin,Scrypt,1.0,PoW/PoS,9880502.4,30000000.0
RAP,Rapture,NeoScrypt,0.0,PoW,4478901.3,21000000.0
PHC,Profit Hunters Coin,Scrypt,1.0,PoW/PoS,0.0,100000000.0
SEM,Semux,Semux BFT consensus,1.0,DPoS,1231147.0,100000000.0
BBK,BitBlocks,Scrypt,1.0,PoW/PoS,0.0,500000000.0
UWC,Uwezocoin,Scrypt,0.0,PoW,0.0,840000000.0
FTO,FuturoCoin,X11,1.0,PoW,31801461.2,100000000.0
CARE,Carebit,Quark,1.0,PoW/PoS,139739596.5,200000000.0
NZL,Zealium,PoS,1.0,PoS,11075254.1,80000000.0
XMC,Monero Classic,CryptoNight,1.0,PoW,16016864.0,18400000.0
PROTON,Proton,X16R,1.0,PoS,4403800.0,45000000.0
DEAL,iDealCash,Scrypt,1.0,PoW/PoS,1404157529.5,5121951220.0
JUMP,Jumpcoin,NIST5,1.0,PoW,21069346.3,21000000.0
INFX,Infinex,Lyra2RE,1.0,PoW,5097689.7,26280000.0
XBI,Bitcoin Incognito,XEVAN,1.0,PoS/PoW,10904963.1,21000000.0
KEC,KEYCO,Tribus,1.0,PoW,795447.0,18000000.0
HWC,HollyWoodCoin,Scrypt,1.0,PoS,38706809.5,26000000.0
GIN,GINcoin,Lyra2Z,1.0,PoW,6986399.7,10500000.0
PAR,Parlay,Scrypt,0.0,PoS,3783270.0,30000000.0
LTCC,Listerclassic Coin,Scrypt,0.0,PoW/PoS,8094818.4,110000000.0
PLTC,PlatinCoin,CryptoNight,1.0,PoW,84300.0,600000518.0
KNG,BetKings,X11,0.0,PoS,11359634.6,8148139.0
COG,Cognitio,SHA-256D,0.0,PoW/PoS,658584.5,7500000.0
LOKI,Loki,CryptoNight Heavy,1.0,PoW,19153632.0,150000000.0
NCP,Newton Coin,CryptoNight,1.0,PoW,41294520017.0,184000000000.0
MRN,Mercoin,Scrypt,0.0,PoW/PoS,25330252.3,100000000.0
SIC,Swisscoin,Scrypt,1.0,PoW/PoS,10200000000.0,10200000000.0
EXCC,ExchangeCoin,Equihash,0.0,PoW,0.0,32000000.0
REL,Reliance,X11,0.0,PoS,7256580.0,62000000.0
XT3,Xt3ch,Scrypt,1.0,PoS,7630000.0,44000000.0
MGD,MassGrid,Jump Consistent Hash,1.0,PoW,135862416.0,168000000.0
VIG,TheVig,SHA-256D,1.0,PoW/PoS,33238183.7,100000000.0
PLURA,PluraCoin,CryptoNight,1.0,PoW,560085952.4,1000000000.0
EMAR,EmaratCoin,Scrypt,1.0,PoW/PoS,21599339.7,84000000.0
DKD,Dekado,X15,1.0,PoS,30284196.4,90000000.0
LYNX,Lynx,Scrypt,1.0,HPoW,77872059787.9,92000000000.0
POSQ,Poseidon Quark,Quark,1.0,PoS,2716265.0,650000000.0
YCE,MYCE,Scrypt,0.0,PoW/PoS,63613903.9,250000000.0
ARO,Arionum,SHA-512,0.0,PoW,60045900.0,545399000.0
BWS,BitcoinWSpectrum,SHA-256,1.0,PoS,57811001.0,100262205.0
GOLF,GolfCoin,SHA-256D,0.0,PoW/PoS,0.0,1713134800.0
MUSE,Muse,DPoS,1.0,PoS,18194936.0,18081806.0
XMN,Motion,X16R,1.0,PoW,8125865.0,22075700.0
PLUS1,PlusOneCoin,HMQ1725,1.0,PoW,8645406.2,21000000.0
AXE,Axe,X11,1.0,PoW,4993030.7,21000000.0
GMCN,GambleCoin,Scrypt,0.0,PoS,8240763.5,15600000.0
TRVC,Trivechain,X16R,1.0,PoW/PoS,36923120.6,82546564.0
DTEM,Dystem,Quark,1.0,PoS,7082392.2,21000000.0
GIC,Giant,Quark,1.0,PoW/PoS,5919489.8,5151000.0
PNY,Peony Coin,Scrypt,1.0,PoS,1042012.5,16880000000.0
SAFE,SafeCoin,Zhash,1.0,PoW/PoS,0.0,36000000.0
ABS,Absolute Coin,Lyra2REv2,1.0,PoW/PoS,13332617.9,52500000.0
VITAE,Vitae,Quark,1.0,PoS,66053877.6,100000000.0
XGS,GenesisX,XEVAN,0.0,PoS,0.0,19000000.0
BIM,BitminerCoin,CryptoNight,0.0,PoW,0.0,50000000.0
HEX,HexCoin,Scrypt,1.0,PoW,1416663.1,22105263.0
DEI,Deimos,Scrypt,0.0,PoW,269143950.6,1000000000.0
TPC,TPCash,Scrypt,1.0,PoW/PoS,5403802.5,1000000000.0
WEBC,Webchain,CryptoNight-V7,1.0,PoW,15580199.3,1750000000.0
RYO,Ryo,Cryptonight-GPU,1.0,PoW,4890897.0,88188888.0
MUSD,MUSDcoin,Scrypt,1.0,PoW/PoS,0.0,100000000.0
URALS,Urals Coin,XEVAN,1.0,PoW,14746153.1,210000000.0
QWC,Qwertycoin,CryptoNight Heavy,1.0,PoW,99553110528.8,184470000000.0
BITN,Bitcoin Nova,CryptoNight,0.0,PoW,484454200.0,1000000000.0
ARE,ARENON,X11,1.0,PoS,19269509.9,55000000.0
DACASH,DACash,X11,0.0,PoW,26709236.8,50000000.0
EUNO,EUNO,X11,1.0,PoW/PoS,30771126.0,50000000.0
MMO,MMOCoin,Scrypt,1.0,PoS,107763867.9,260000000.0
KETAN,Ketan,PoS,1.0,PoS,9327131.6,210000000.0
NIX,NIX,Lyra2REv2,1.0,PoW,0.0,175000000.0
XSTC,Safe Trade Coin,Scrypt,1.0,PoS,0.0,840000000.0
PPAI,Project Pai,SHA-256,1.0,PoW,2100000000.0,2100000000.0
MBLC,Mont Blanc,Scrypt,1.0,PoS,0.0,70000000.0
XDNA,XDNA,Keccak,1.0,PoW/PoS,4672513.8,366000000.0
PAXEX,PAXEX,X11,1.0,PoS,4504639.0,100000000.0
AZART,Azart,X11,1.0,PoW,5015881.4,25000000.0
AOP,Averopay,Tribus,0.0,PoW/PoS,1859475.6,36500000.0
XAP,Apollon,Quark,1.0,PoW/PoS,0.0,250000000.0
TSC,ThunderStake,Scrypt,1.0,PoW/PoS,1059954080.4,18000000000.0
SPLB,SimpleBank,NeoScrypt,0.0,PoW/PoS,2381471.0,21000000.0
KCASH,Kcash,SHA-512,1.0,Zero-Knowledge Proof,1000000000.0,1000000000.0
XCG,Xchange,X16R,1.0,PoW,9753753.6,100000000.0
AAC,Acute Angle Cloud,ECC 256K1,1.0,DPOS,1000000000.0,1000000000.0
TRAID,Traid,NeoScrypt,1.0,PoW/PoS,0.0,252000000.0
CRYP,CrypticCoin,Equihash,1.0,PoW,4235111504.0,7600000000.0
BTXC,Bettex coin,XEVAN,1.0,PoS,6787405.2,50000000.0
ZEST,ZestCoin,Quark,1.0,PoW,0.0,29300000.0
XCASH,X-CASH,CryptoNight Heavy X,1.0,PoW,0.0,100000000000.0
BRAZ,Brazio,HMQ1725,0.0,PoW,75579791.7,207000000.0
ACM,Actinium,Lyra2Z,1.0,PoW,13634850.0,84000000.0
ETHO,ETHER-1,Ethash,1.0,PoW,0.0,13666237.0
TWISTR,TWIST,SHA-512,0.0,PoS,200000000.0,200000000.0
BSV,Bitcoin SV,SHA-256,1.0,PoW,17992514.6,21000000.0
DACH,DACH Coin,Quark,0.0,PoS,14303114.7,38000000.0
AGM,Argoneum,PHI1612,0.0,PoW,13969583.4,64000000.0
BITM,BitMoney,XEVAN,1.0,Pos,208515864.4,70000000000.0
B2G,Bitcoiin2Gen,Ethash,1.0,PoW,0.0,100000000.0
JMC,Junson Ming Chan Coin,X11,1.0,PoS,17209923728.3,0.0
FRED,FREDEnergy,CryptoNight,1.0,PoW,1867054873.3,8080000000.0
ZND,Zenad,Quark,1.0,POS / MN,0.0,46000000.0
C25,C25 Coin,SkunkHash,1.0,PoW,0.0,6100000.0
HERB,HerbCoin,Quark,1.0,PoW/PoS,35312185.7,54000000.0
AQUA,Aquachain,Argon2,1.0,PoW,0.0,42000000.0
BBTC,BlakeBitcoin,Blake,0.0,PoW,20595483.8,21000000.0
UMO,Universal Molecule,Blake,1.0,PoW,1578281.3,105120001.4
LIT,Lithium,Blake,1.0,PoW,15846721.2,25228800.0
ELT,Electron,Blake,0.0,PoW,24156922.0,7000000000.0
RBTC,Smart Bitcoin,SHA-256,1.0,PoW,0.0,20999764.0
PIRATE,PirateCash,Equihash,1.0,PoS,13475920.0,105000000.0
EXO,Exosis,Exosis,1.0,PoW,406091.9,21000000.0
BLTG,Block-Logic,Scrypt,1.0,PoW,35284717.2,120000000.0
OWC,Oduwa,Scrypt,1.0,PoW/PoS,14777549.4,21000000.0
BEAM,Beam,Equihash,1.0,PoW,35687520.0,262800000.0
GALI,Galilel,Quark,1.0,PoW/PoS,18265011.2,19035999.0
BTH,Bithereum,Equihash,1.0,PoW,25150787.5,30886000.0
CSPN,Crypto Sports,Quark,1.0,PoS,1934701.7,13370000.0
CREDIT,Credit,Scrypt,1.0,PoW/PoS,30825710000.0,74800000000.0
SCRIBE,Scribe Network,Lyra2REv2,0.0,PoW,6040583.7,32700000.0
SLC,SLICE,QuBit,1.0,PoW,12925790.4,100000000.0
DASHP,Dash Platinum,X11,1.0,PoS,715659.4,19700000.0
NSD,Nasdacoin,Scrypt,1.0,PoW/PoS,20546528.2,84000000.0
VDL,Vidulum,Equihash1927,1.0,PoW,0.0,100000000.0
BEET,Beetle Coin,XEVAN,1.0,PoW/PoS,198938144.4,500000000.0
TTN,Titan Coin,SHA-256D,1.0,PoW/PoS,896361168.0,5000000000.0
AWR,Award,X11,1.0,PoW/PoS,15420234.5,420000000.0
BST,BlockStamp,SHA-256,1.0,PoW,0.0,105000000.0
